,index,Unnamed: 0,company,description,label,name
10,5,,win-kel,"Win-Kel offers the Airbnb like service in the self-storage industry. You can rent the exact space you want (e.g. 4'x6'), much cheaper in comparison to traditional storage units which offer fixed space with a high price. If you have extra space in your house or apartments (i.e. empty closet, bedroom, basement), you can make money off of the unused space instead of just leaving it. ",No,Win-Kel
11,6,,photoshelter.,Photography archive web site.,No,Photoshelter
12,7,,executiveimpact,Executive Impact is a coaching organization that ignites Executives to  be the best version of themselves reconnecting them to their passion and drive to deliver exceptional results for their organization.   We specifically teach Leaders how to MOVE FORWARD with their teams instead of spending all their time tightening their organization through over management; channelling their genius and MAKE IT HAPPEN. ,No,EXECUTIVE IMPACT
13,8,,cosmic,"COSMIC (The Common Software Measurement International Consortium) is a voluntary, world-wide grouping of software metrics experts.  Started in 1998, COSMIC has developed the most advanced method of measuring a functional size of software.  Such sizes are important as measures of software project work-output and for estimating project effort, etc",No,COSMIC
14,9,,loudlouderloudest,"LoudLouderLoudest created millions of mobile music products in the height of the ringtone craze the early 2000's.  We loved our job and were the considered the best mobile production company in the industry.  Some of our favorite projects involved Notorious B.I.G., Gucci Mane, The Simpsons, Donald Trump, Luciano Pavarotti, Ornette Coleman, and Sean Paul.    We made great-sounding ringtones, ringbacks, and video ringers for over 1600+ record labels across 500+ devices.  Our team was full of know-it-alls and superb musicians working hard in a factory building with little heat in Williamsburg, Brooklyn.  We were famous for several wireless and music industry firsts including creating the first AAC music files on mobile devices, encoding the first ringbacks, and optimizing the first music videos on mobile phones in the US.  In late 2010 we sold our software to the Wireless Developer Agency and they are still going strong making ringtones for clients around the globe.   Our Founders: Devin Maxwell, Katie Porter (President & CEO) and Quentin Tolimieri  Our Clients: WMG, UMG, ADA, HBO, 20th Century FOX, Disney, THQ, Ford and over 1600+record labels.  Our Team: Gretta Cohn, Joe Davancens, Jessica Gaynor, David Geddes, Travis Just, Hira Lesea, Mike Lucke, Ryan Maxwell, Vanessa McDonnell, Jim McGrath, Bradley Schirmer, Gordy Smith, Ryan Ross Smith, Matt Wagner, Ian Wolff, Hayden Borowski and Susan Lueth of Wireless Developer Agency, Will Gines III of Wireless World Technologies, Phillip Niemeyer of Double Triple and Rachel Cox and Stew O'Connor of Vireo.   THANK YOU ALL.  If you are currently seeking mobile content production, look no further than the Wireless Developer Agency.  www.wda.com  LoudLouderLoudest 143 Roebling Street Brooklyn, NY 11211 www.loudlouderloudest.com hello@loudlouderloudest.com",No,LoudLouderLoudest
15,10,,thrive-cash,"Thrive, the company behind ThriveCash, is a technology company designing financial products for students and young professionals based on where they are going, not where they have been.  Its founders came to the US to attend college. They arrived with little money but a lot of promise. With a bit of luck and a lot of hard work, both graduated from Stanford, and went on to become product and engineering leaders at Twitter. But it was not always easy, particularly without credit or full financial backing from their families. Thrive was born from their experience.   Today, Thrive invests in human potential.",No,ThriveCash
16,11,,cisco,"Cisco (NASDAQ: CSCO) enables people to make powerful connections--whether in business, education, philanthropy, or creativity. Cisco hardware, software, and service offerings are used to create the Internet solutions that make networks possible--providing easy access to information anywhere, at any time.   Cisco was founded in 1984 by a small group of computer scientists from Stanford University. Since the company's inception, Cisco engineers have been leaders in the development of Internet Protocol (IP)-based networking technologies. Today, with more than 71,000 employees worldwide, this tradition of innovation continues with industry-leading products and solutions in the company's core development areas of routing and switching, as well as in advanced technologies such as home networking, IP telephony, optical networking, security, storage area networking, and wireless technology. In addition to its products, Cisco provides a broad range of service offerings, including technical support and advanced services.   Cisco sells its products and services, both directly through its own sales force as well as through its channel partners, to large enterprises, commercial businesses, service providers, and consumers.",Yes,Cisco
17,12,,2ndquadrant,"2ndQuadrant is your diligent team of PostgreSQL experts. As the largest collective organization of PostgreSQL contributors, we provide customers with more than just expertise - we give peace of mind. We apply knowledge from over 100 years of combined code contributions to the PostgreSQL project with more than 16 years of hands-on experience through customer engagements to deliver high-quality, customized services - making 2ndQuadrant the Gold Standard for PostgreSQL products & services.  Our focus on service quality is reflected in the consistent best-in-class NPS score of over 75 for more than 2 years. Spanning 22 countries and 5 continents, we sustain a local presence to better serve our customers.  For anything PostgreSQL, 2ndQuadrant is the first choice company to work with.",No,2ndQuadrant
18,13,,microsoft,"At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. Our mission is grounded in both the world in which we live and the future we strive to create. Today, we live in a mobile-first, cloud-first world, and the transformation we are driving across our businesses is designed to enable Microsoft and our customers to thrive in this world.   We do business in 170 countries and are made up of 144,000 passionate employees dedicated to fulfilling our mission of helping you and your organization achieve more.",No,Microsoft
19,14,,vps.net,"Launched in 2009 as part of the UK2Group, VPS.NET is a leading cloud services provider, offering cloud hosting to more than 10,000 clients, in more than 180 different countries. Since its inception in 2009, VPS.NET has continued to push the market forward, bringing forth numerous innovations to the industry, like rebootless resource upgrades, and the ability for clients to choose from 18 different datacenters to host their site.  VPS.NET stands out from the crowd by offering high availability at an affordable price. Unlike other companies, they’ve eliminated single failure points from their infrastructure. They host VPS solutions on a cloud full of machines. So, if one machine goes down, it's simply eliminated from the cloud and servers continue as though nothing happened. VPS.NET’s hard disks are also unique. They use enterprise-grade, tier 1-quality hard disks, with fully redundant controllers, power supplies and RAID 10 mirrored disks. If a disk goes down, VPS.NET’s repair contracts ensure it is replaced without disruption in minimal time.",No,VPS.NET
20,15,,prestige-employee-administrators,"Prestige Employee Administrators is a top tier service provider of outsourced HR solutions such as benefits, payroll administration, human resources, compliance and risk management services. We were founded in 1998 and are located in Manhattan and Melville, New York.   Prestige builds long term relationships with small and medium size businesses to provide HR solutions that are typically only available to fortune 500 companies. The companies we seek to partner with understand that employees are their number one asset and they depend on Prestige to deliver high quality HR services. Our HR solutions have a national reach with Professional Employer Organization (PEO) certifications in 48 states.     Prestige has earned Employer Services Assurance Corporation (ESAC), a PEO company’s highest level of accreditation and gold standard for PEO best practices and financial reliability.   We are #20 on Crain’s New York Business list of “NY Area’s Largest Privately Held Companies”.   Prestige is noted as “One of the Fastest Growing Privately Held Firms in America” in 2008, 2009, 2010, 2011, 2012, 2015, 2016, 2017, by Inc.5000.   ",No,Prestige Employee Administrators
21,16,,cloud-technology-partners,"Cloud Technology Partners (CTP), a Hewlett Packard Enterprise company, is the premier cloud services and software company for enterprises moving to AWS, Google, Microsoft and other leading cloud platforms.  From strategy to operations, CTP accelerates end-to-end cloud adoption with the best implementation services, software and intellectual property available on the market. CTP’s comprehensive framework for cloud adoption and dedicated software development capabilities help clients achieve business results faster, no matter where they are in their cloud transformation.  Learn more at www.cloudtp.com",Yes,"Cloud Technology Partners, a Hewlett Packard Enterprise company"
22,17,,dtg-limited-finn,"DT & G Limited manufacture 'Finn' Chocolate Coating and Polishing Technologies. DT & G Limited supply tailor made products along with advice on the development of both the product line and finished confectionery to allow the customer the greatest return on their investment.  Our machines coat and polish fruit, nuts, seeds, cereal and many other products in chocolate and yoghurt.  The 'Finn' name is recognised as the most efficient chocolate coating and polishing machine supplying countries worldwide. We pride ourselves on our quick and efficient responsivesness.",No,DT & G Limited
23,18,,the-brenner-group,"The Brenner Group®, one of the technology community's leading diversified professional services firms, is now Armanino LLP.  The Brenner Group enjoys a 30­-year reputation of excellence in providing temporary and permanent part-time/full-time financial leadership to technology companies at various stages in their lifecycle. This combination provides better technology, wider industry experience and one integrated team to help clients from start to finish with their outsourced finance and accounting needs.",No,"The Brenner Group, LLC"
24,19,,gopreki,"GoPreki is revolutionizing the way small business owners supply their stores. We say goodbye to traveling long distances, the fear of shopping, the lack of variety and the volatility of prices. An online marketplace where store owners can shop from hundreds of vendors all in one place. ",No,GoPreki
25,20,,nerdery,"Nerdery is a digital business consultancy working at the leading edge of strategy, design and technology to help clients evolve and thrive. Much more than consultants, we’re allies on your digital journey. We prepare our clients for the opportunities at hand and the bigger ones down the road. Bridging strategy to execution to all the operational pieces, we create things that accelerate your company as a whole, thoughtfully crafted to deliver on every level.",Yes,Nerdery
26,21,,sports-car-driving-experience,"Sports Car Driving Experience Racing Schools brings you the thrill of driving like a professional race car driver! Our racing schools will teach you competition dynamics and car control with our combination of classroom and on-track sessions. Gain expertise through slalom, braking and heel-and-toe exercises taught by professional racing instructors.  Our racing school courses are full one or two-day experiences held at Palm Beach International Raceway, Sebring International Raceway, Homestead/Miami Speedway and Daytona International Speedway  in Florida and at Roebling Road Raceway in Savannah, Georgia. Students are provided with Corvettes (C5's, C6's, and Z06's) to drive on the road course with plenty of seat time. All our racing schools cars are equipped with in-car camera to further critique and perfect your race car driving skills off the track.  If amateur racing is not your goal, contact us to plan your next team building group event or sales reward program. We can work with groups ranging from10-100 people or more, depending on your needs. The program can be customized to your requests in both the number of days, people, and program schedule. Contact us for more information.",No,Sports Car Driving Experience
27,22,,coup,"De snel veranderende wereld vraagt om nieuw denken en nieuw doen. COUP richt zich op duurzaam waardevolle en ingewikkelde projecten. Als urban producer pakken we de rol die nodig is om een project echt voor elkaar te krijgen. Soms als ontwikkelaar, soms als adviseur en vaak er tussenin. Wij doen wat anderen niet doen en gaan verder waar anderen stoppen. We bieden integrale oplossingen met impact die het speelveld vernieuwen. COUP, gamechanger.",No,COUP
28,23,,postgresql-global-development-group,"PostgreSQL is a powerful, open source object-relational database system. It has more than 15 years of active development and a proven architecture that has earned it a strong reputation for reliability, data integrity, and correctness. It runs on all major operating systems, including Linux, UNIX (AIX, BSD, HP-UX, SGI IRIX, Mac OS X, Solaris, Tru64), and Windows. It is fully ACID compliant, has full support for foreign keys, joins, views, triggers, and stored procedures (in multiple languages). It includes most SQL:2008 data types, including INTEGER, NUMERIC, BOOLEAN, CHAR, VARCHAR, DATE, INTERVAL, and TIMESTAMP. It also supports storage of binary large objects, including pictures, sounds, or video. It has native programming interfaces for C/C++, Java, .Net, Perl, Python, Ruby, Tcl, ODBC, among others, and exceptional documentation.  An enterprise class database, PostgreSQL boasts sophisticated features such as Multi-Version Concurrency Control (MVCC), point in time recovery, tablespaces, asynchronous replication, nested transactions (savepoints), online/hot backups, a sophisticated query planner/optimizer, and write ahead logging for fault tolerance. It supports international character sets, multibyte character encodings, Unicode, and it is locale-aware for sorting, case-sensitivity, and formatting. It is highly scalable both in the sheer quantity of data it can manage and in the number of concurrent users it can accommodate. There are active PostgreSQL systems in production environments that manage in excess of 4 terabytes of data.",No,PostgreSQL Global Development Group
29,24,,alpha-kappa-psi,"In 1904, Alpha Kappa Psi was founded on the principles of educating its members and the public to appreciate and demand higher ideals in business and to further the individual welfare of members during college and beyond.  College men and women everywhere are discovering that Alpha Kappa Psi is much more than just another organization or club—it is a unique, prestigious association of students, professors, graduates and professionals with common interests and goals. They join Alpha Kappa Psi to take advantage of valuable educational, friendship and networking opportunities.  Alpha Kappa Psi continuously seeks ways to add value to the member experience. Our vision is to be ""the premier developer of principled business leaders."" One of the ways we accomplish this is through our teachings at the collegiate level, regional conferences, our bi-annual convention and various educational series. In our on-going efforts to provide meaningful and needed benefits to our members, we have entered into agreements with several companies to provide discounted products and services to our members. For more information on this, please visit our website.  We encourage all businesses who agree with, want to share or help us achieve our vision to follow us here, on Twitter and Facebook and join the conversation.",No,Alpha Kappa Psi
30,25,,aspen-capital,"Aspen Capital is a equity investment firm focused on investing in growing, established and profitable companies. We specialize in partnering with management teams to facilitate corporate spin-offs, family succession transactions, recapitalizations, buy-and-build strategies and management buyouts.",No,Aspen Capital
31,26,,ibmix,"We are a hybrid digital agency and consultancy that works at the intersection of progressive strategy, creative vision and transformational technology to tackle the biggest business challenge: tomorrow.   We won't just tell you what it takes for the ultimate customer experience. We'll become ingrained in your business, design side-by-side with your innovators and see the project through from initial strategy to delivery.",Yes,IBM iX
32,27,,insight,"Today, every business is a technology business. Insight Enterprises Inc. empowers organizations of all sizes with Insight Intelligent Technology Solutions™ and services to maximize the business value of IT. As a Fortune 500-ranked global provider of Digital Innovation, Cloud + Data Center Transformation, Connected Workforce, and Supply Chain Optimization solutions and services, we help clients successfully manage their IT today while transforming for tomorrow. From IT strategy and design to implementation and management, our 11,000 teammates help clients innovate and optimize their operations to run business smarter. Discover more at www.insight.com. ",Yes,Insight
33,28,,association-for-computing-machinery,"ACM, the Association for Computing Machinery www.acm.org, is the world's largest educational and scientific computing society, uniting educators, researchers and professionals to inspire dialogue, share resources and address the field's challenges. ACM strengthens the computing profession's collective voice through strong leadership, promotion of the highest standards, and recognition of technical excellence. ACM supports the professional growth of its members by providing opportunities for life-long learning, career development, and professional networking.",No,"ACM, Association for Computing Machinery"
34,29,,hewlett-packard-enterprise,"In 1939, Bill Hewlett and Dave Packard, college friends turned business partners, started the original Silicon Valley startup in the space of a rented Palo Alto garage. Starting with audio oscillators, the friends built the foundation for a company that would grow to become a global leader in enterprise technology.   More than 75 years later, our success is exemplified through our employees’ drive to advance ideas that bring meaningful innovations to life for our customers and partners around the globe. We are guided by our mission to help customers use technology to turn ideas into value, and empower them to transform industries, markets and lives. We simplify Hybrid IT, power the Intelligent Edge and provide the expertise to make it all happen.",No,Hewlett Packard Enterprise
35,30,,bellevue-boys-lacrosse-club,"2014 Washington State, Division I, Champions  The Bellevue Boys Lacrosse Club is dedicated to promoting lacrosse by providing our student athletes the opportunity to learn the fundamentals and develop their skills while fielding competitive teams and honoring the game. We serve players from 1st grade to 12th grade, who reside in the area served by Bellevue High School. Our high school programs compete in WHSBLA Division 1, Northeast conference.   Contact Us Bellevue Boys Lacrosse Club 10416 SE Wolverine Way Bellevue, WA  98004     Program Director/High School Varsity Coach:  John Baumann Youth Director: Chris Bergin Registration Issues: registrar@bellevuelacrosse.com Website Issues:  admin@bellevuelacrosse.com    Bellevue High School Lacrosse was established in 1979.    Bellevue HS has won a total of 11 Division I State Championships and 2 Division II State Championships:  • 2014 • 2013 • 2012 • 2010 • 1998 (division II) • 1995 (division II) • 1991  • 1990 • 1989 • 1986 • 1985 • 1984 • 1983  Since Washington began keeping All State and All American Honors in 1987; Bellevue High School players have been recognized 80 times with All State Honors. Liste below are our 9 All Americans:  • 2012 - Austin Boyd (goalie) • 2012 - Sam Leggett (defense) • 2011 - Sam Leggett (defense) • 2010 - Brett Mennella (attack) • 2002 - Andy Young (attack) • 1996 - Joe Kudla (midfield) • 1993 - Michael Lewis (midfield) • 1991 - Rob Blethen (defense) • 1987 - Jeff Liebert (attack)",No,Bellevue Boys Lacrosse Club
36,31,,aarvi-encon-ltd-,"Aarvi Encon has established it's leadership in providing Engineering Consultancy and Technical Assistance to Oil & Gas, Refinery, Petrochemical, Pipelines, Power & Infrastructure, IT Sectors since 1987.  We have a strong team of 2000+ people in following categories to provide support from Concept-To-Commissioning:  ENGINEERING DESIGN (Onshore / Offshore / Upstream / Midstream / Downstream / Green Field / Brownfield Projects): Piping Design Engineers Civil / Structural Design Engineers Process Design Engineers Electrical Design Engineers Instrumentation Design Engineers Piping Designers Civil / Structural Designers Process Designers Electrical Designers Instrumentation Designers Draftsman  PROJECT / CONSTRUCTION: Project Engineers Planning Engineers Piping Engineers Mechanical Engineers Civil / Structural Engineers Electrical Engineers Instrumentation Engineers Construction Coordinators Construction Supervisors Technicians (All Disciplines)  PRECOMMISSIONING / COMMISSIONING / START-UP: Process Commissioning Engineers Mechanical Commissioning Engineers Instrument Commissioning Engineers Electrical Commissioning Engineers Turnover Engineers Completion Engineers Commissioning Coordinators Commissioning Supervisors Technicians DCS/Panel Operators  Process/Plant/Field Operators  O&M / SHUTDOWN: Maintenance Engineers Maintenance Coordinators Maintenance Supervisors Shutdown Planners Shutdown Engineers Shutdown Coordinators Shutdown Supervisors Technicians  INSPECTION: QA/QC Engineers QA/QC Auditors (IRCA / ISO) QA/QC Supervisors Piping Inspectors (API 570) Plant Inspectors (API 510) Tank Inspectors (API 653) Welding Inspectors (AWS / CSWIP) NDT Inspectors (UT / PT / MT / RT / / MFL / UFDT / Replica / IRIS / Creep Measurement / Thickness Gauge / Hardness / Eddy Current etc) Painting / Coating Inspectors E&I Inspectors In-Service Plant Inspectors Technicians  HEALTH SAFETY ENVIRONMENT: HSE Engineers HSE Officers",No,Aarvi Encon Limited
37,32,,vaco,"Vaco provides expert business consulting, permanent placement, executive search and strategic staffing for companies around the world, in the areas of accounting, finance, technology, healthcare, operations, administration and more. As a premier talent solutions firm, Vaco connects people to their dream jobs and helps leading companies find talent to grow their business.   Since its founding in 2002, Vaco has grown to over 40 offices across the globe, 820+ employees, more than 5,100 consultants and $500M in revenue. Vaco has been named to Inc. magazine’s list of the fastest-growing private companies for past 12 years and is dedicated to developing long-term relationships, life-long careers and creative client solutions.",No,Vaco
38,33,,elic,"ELIC proudly recruits, trains, and sends hundreds of people each year to teach in long-term and short-term programs throughout Asia, the Middle East, and North Africa. Our long-standing partnerships with universities and governments around the globe open doors for us to make a deep and significant impact on students, colleagues, and neighbors. People come to ELIC from a variety of backgrounds including engineering, executive leadership, sales, medicine, and education. Our comprehensive training prepares new teachers to be world-class educators and helps veteran teachers as they transition overseas. Ongoing professional development opportunities include yearly conferences, graduate certificate programs, master's degrees, and Ph.D. options.  We are honored to have the opportunity to make a difference in the lives of students. English is the business language of the world, and students from our classrooms use their skills to gain overseas jobs as well as earn positions of leadership in business, government, and virtually any other profession that they pursue. We are proud to connect ELIC teachers with future leaders where we serve.",No,English Language Institute/China (ELIC)
39,34,,din-co,"Din delivers restaurant recipes and the highest quality ingredients for you to cook at home. We work with your favorites chefs, iconic restaurants, and the very best local farmers and producers so that you can cook better, faster and more often.   As a Din member, you'll get access to recipes and ingredients from great restaurants like Bar Tartine, A16, Chris Cosentino's Cockscomb, Souvla, Alta, Brandon Jew's Mister Jiu's and more. Din's deliveries are currently available in California and Nevada, and we'll likely be expanding to new markets in the near future.",No,Din.co
40,35,,alberta-sand-and-gravel-association,"The aggregate industry in Alberta represents thousands of employees, and mineral aggregate has the largest commercial value of any non-energy mineral resource produced in Alberta.  The mission of the Alberta Sand & Gravel Association (ASGA) is to represent the interests of Alberta sand and gravel operators on key industry related issues and proposed regulatory changes and to promote and educate today’s aggregate consumers. The ASGA advocates the environmentally responsible and orderly development of this valuable non-renewable natural resource.   Founded in 1974, the ASGA is focused on the orderly and responsible development of Alberta’s aggregate resources, promoting high standards of workmanship and accountability related to the environment and to the safety of their operations.   The ASGA is dedicated to providing its membership with information affecting their business interests while raising public awareness and the profile of the aggregate industry.  As producers and consumers, the Aggregate industry contributes to the growth of Alberta’s Oil and Gas, Construction and Environment industries to name a few.  Construction aggregate resource is critical in the development of the transportation and structural infrastructure necessary to develop other new mineral and renewable resources, especially in northern Alberta. (Edwards)",No,Alberta Sand and Gravel Association
41,36,,driversed.com,"We provide online drivers ed and in-car lessons for new drivers who are ready to get their license. Our courses and professional driving instructors have been creating SMART, safe and confident drivers for 25 years.",No,DriversEd.com
42,37,,ciklum,"Ciklum is a global Digital Solutions Company for Fortune 500 and fast-growing organisations alike around the world. The company is headquartered in London and has software development centers and branch offices in the United States, Spain, Switzerland, Denmark, Israel, Poland, Ukraine, Belarus, UAE and Pakistan.  Ciklum builds tailored digital solutions that leverage emerging technologies for such clients as Just Eat, Flixbus, Mercedes Pay, EFG International, Zurich Insurance, Lottoland and others.  For more information about us visit www.ciklum.com",Yes,Ciklum
43,38,,opswat,"OPSWAT protects critical infrastructure. Our goal is to eliminate malware and zero-day attacks. We believe that every file and every device pose a threat. Threats must be addressed at all locations at all times—at entry, at exit, and at rest. Our products focus on threat prevention and process creation for secure data transfer and safe device access. The result is productive systems that minimize risk of compromise. That’s why 98% of U.S. nuclear power facilities trust OPSWAT for cybersecurity and compliance.  OPSWAT. Trust no file. Trust no device.  www.opswat.com   Visit us on Twitter, Facebook, Instagram, and YouTube.  http://www.twitter.com/opswat http://www.facebook.com/opswat https://www.instagram.com/opswat https://www.youtube.com/user/opswat1",Yes,OPSWAT
44,39,,adventis-cg,"Current and aspiring finance professionals often struggle to transition theories and concepts into real-world financial modeling skills. With our Financial Modeling Certification (“FMC“) Program, we are setting out to change this. The FMC Program uses a superior approach to teaching financial modeling skills that combines in-person, “learn by doing” instruction with self-paced learning and enables professionals and undergraduate students to build a set of highly valuable skills that will enhance their careers in investment banking, private equity, corporate finance and other finance-related fields.",No,Adventis
45,40,,levels-fyi,Levels.fyi lets you compare career levels & compensation packages across different companies,No,Levels.fyi
46,41,,propelland,"WE'RE HIRING! The propelland team is growing! We're looking for the following positions: Interaction Design Lead, San Francisco Interaction Design Lead, Mexico City Industrial Design Lead, Madrid Engineering Lead, Madrid Strategy Lead, San Francisco  Let's create amazing product and service experiences together! Drop your résumé to careers@propelland.com  ////////////////////////////////////////  propelland is a global strategic design & engineering firm helping companies transform and grow. We bring to life products, services, and experiences that add value in people’s lives.  We are building together the best global creative talent platform to make the extraordinary, a place where we unite & multiply our skills to create and deliver positive impact in people lives and to the world. We have the responsibility to push the boundaries of our disciplines collectively to generate impact and solve larger problems.  As a global strategic design and engineering firm with studios in San Francisco, Madrid, and Mexico City, we help transform and grow Fortune500 and new disruptive start-ups. We bring to life products, services, and experiences that add value in people’s lives. We believe in a methodology that hinges on understanding human needs, availability of technology, while empowered by strong business model. We understand that we will need to constantly evolve, be agile, reinvent ourselves constantly as a great opportunity to keep learning as a design studio. At propelland we believe all this is possible and we are committed to make it a reality with passion and having fun in the process. We believe in putting people first, then projects then companies. We are creating a team of expert generalists fueled by curiosity to generate exponential change. We believe in people that want to design their future, risk takers, fast learners that will lead by example as change makers.",Yes,propelland
47,42,,jpmorganchase,"For over 200 years, JPMorgan Chase & Co has provided innovative financial solutions for consumers, small businesses, corporations, governments and institutions around the world.  Today, we're a leading global financial services firm with operations servicing clients in more than 100 countries.  Whether we are serving customers, helping small businesses, or putting our skills to work with partners, we strive to identify issues and propose solutions that will propel the future and strengthen both our clients and our communities.  © 2017 JPMorgan Chase & Co.  JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran.  ",No,JPMorgan Chase & Co.
